table_name	column_name	data_type	udt_name
reservations	id	bigint	int8
reservations	restaurant_id	bigint	int8
reservations	client_id	bigint	int8
reservations	start_time	timestamp with time zone	timestamptz
reservations	end_time	timestamp with time zone	timestamptz
reservations	party_size	integer	int4
reservations	status	text	text
reservations	source_channel	text	text
reservations	meal_duration_minutes	integer	int4
reservations	cleaning_buffer_minutes	integer	int4
reservations	grace_delay_minutes	integer	int4
reservations	special_request	text	text
reservations	created_at	timestamp with time zone	timestamptz
reservations	updated_at	timestamp with time zone	timestamptz
reservations	table_id	bigint	int8
reservations	area_id	bigint	int8
reservations	booking_source	text	text
reservations	created_by	text	text
reservations	source	text	text
reservations	conversation_id	text	text
restaurant_closures	id	bigint	int8
restaurant_closures	restaurant_id	bigint	int8
restaurant_closures	starts_at	timestamp with time zone	timestamptz
restaurant_closures	ends_at	timestamp with time zone	timestamptz
restaurant_closures	reason	text	text
restaurant_closures	created_at	timestamp with time zone	timestamptz
restaurant_closures	updated_at	timestamp with time zone	timestamptz
restaurant_closures	is_active	boolean	bool
restaurant_closures	closure_type	text	text
restaurant_closures	recurrence_rule	text	text
restaurant_settings	id	bigint	int8
restaurant_settings	restaurant_id	bigint	int8
restaurant_settings	default_meal_duration_minutes	integer	int4
restaurant_settings	cleaning_buffer_minutes	integer	int4
restaurant_settings	grace_delay_minutes	integer	int4
restaurant_settings	max_party_size	integer	int4
restaurant_settings	reminder_days_before	integer	int4
restaurant_settings	reminder_hour	integer	int4
restaurant_settings	reminder_channel	text	text
restaurant_settings	created_at	timestamp with time zone	timestamptz
restaurant_settings	updated_at	timestamp with time zone	timestamptz
restaurant_settings	allow_combined_tables	boolean	bool
restaurant_settings	booking_policy	jsonb	jsonb
restaurant_settings	event_notification_policy	jsonb	jsonb
restaurants	id	bigint	int8
restaurants	name	text	text
restaurants	slug	text	text
restaurants	timezone	text	text
restaurants	is_active	boolean	bool
restaurants	created_at	timestamp with time zone	timestamptz
restaurants	updated_at	timestamp with time zone	timestamptz
(51 rows)
