table_schema	table_name	ordinal_position	column_name	data_type	udt_name	is_nullable	column_default
public	agent_checkpoints	1	runId	character varying	varchar	NO	
public	agent_checkpoints	2	agentId	character varying	varchar	YES	
public	agent_checkpoints	3	state	text	text	YES	
public	agent_checkpoints	4	expired	boolean	bool	NO	false
public	agent_checkpoints	5	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agent_checkpoints	6	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agent_execution	1	id	character varying	varchar	NO	
public	agent_execution	2	threadId	character varying	varchar	NO	
public	agent_execution	3	status	character varying	varchar	NO	
public	agent_execution	4	startedAt	timestamp with time zone	timestamptz	YES	
public	agent_execution	5	stoppedAt	timestamp with time zone	timestamptz	YES	
public	agent_execution	6	duration	integer	int4	NO	0
public	agent_execution	7	userMessage	text	text	NO	
public	agent_execution	8	assistantResponse	text	text	NO	
public	agent_execution	9	model	character varying	varchar	YES	
public	agent_execution	10	promptTokens	integer	int4	YES	
public	agent_execution	11	completionTokens	integer	int4	YES	
public	agent_execution	12	totalTokens	integer	int4	YES	
public	agent_execution	13	cost	double precision	float8	YES	
public	agent_execution	14	toolCalls	json	json	YES	
public	agent_execution	15	timeline	json	json	YES	
public	agent_execution	16	error	text	text	YES	
public	agent_execution	17	hitlStatus	character varying	varchar	YES	
public	agent_execution	19	source	character varying	varchar	YES	
public	agent_execution	20	createdAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agent_execution	21	updatedAt	timestamp with time zone	timestamptz	NO	CURRENT_TIMESTAMP(3)
public	agent_execution_threads	1	id	character varying	varchar	NO	
public	agent_execution_threads	2	agentId	character varying	varchar	NO	
public	agent_execution_threads	3	agentName	character varying	varchar	NO	
public	agent_execution_threads	4	projectId	character varying	varchar	NO	
public	agent_execution_threads	5	sessionNumber	integer	int4	NO	0
public	agent_execution_threads	6	totalPromptTokens	integer	int4	NO	0
public	agent_execution_threads	7	totalCompletionTokens	integer	int4	NO	0
