table_name	conname	contype	definition
agent_checkpoints	FK_5e31c210f896d539964bf99fe32	f	FOREIGN KEY ("agentId") REFERENCES agents(id) ON DELETE CASCADE
agent_checkpoints	PK_50a27cbafa6806c9b162304b5fd	p	PRIMARY KEY ("runId")
agent_execution	CHK_agent_execution_hitlStatus	c	CHECK ((("hitlStatus")::text = ANY ((ARRAY['suspended'::character varying, 'resumed'::character varying])::text[])))
agent_execution	CHK_agent_execution_status	c	CHECK (((status)::text = ANY ((ARRAY['success'::character varying, 'error'::character varying])::text[])))
agent_execution	FK_add2432fb6034cc18b6af299dce	f	FOREIGN KEY ("threadId") REFERENCES agent_execution_threads(id) ON DELETE CASCADE
agent_execution	PK_ba438acc8532addc12d1ef17049	p	PRIMARY KEY (id)
agent_execution_threads	FK_0468a9dc35597314e641d4722aa	f	FOREIGN KEY ("agentId") REFERENCES agents(id) ON DELETE CASCADE
agent_execution_threads	FK_0e2f8bf92a7a9c88b89670f701c	f	FOREIGN KEY ("projectId") REFERENCES project(id) ON DELETE CASCADE
agent_execution_threads	FK_f00b52d74fe11838e1fe086deea	f	FOREIGN KEY ("taskVersionId") REFERENCES agent_history("versionId") ON DELETE SET NULL
agent_execution_threads	PK_22373dbf6ba6929d8ac50093309	p	PRIMARY KEY (id)
agent_files	FK_aca4514cb500494b64356c2e164	f	FOREIGN KEY ("agentId") REFERENCES agents(id) ON DELETE CASCADE
agent_files	PK_692920e59217af7d124cd95106f	p	PRIMARY KEY (id)
agent_history	FK_8771675f44c58fb40e0feb9ee35	f	FOREIGN KEY ("publishedById") REFERENCES "user"(id) ON DELETE SET NULL
agent_history	FK_87cd5a8da20304b089ea2f83fec	f	FOREIGN KEY ("agentId") REFERENCES agents(id) ON DELETE CASCADE
agent_history	PK_65ffcfe7a8e112fb826311fb092	p	PRIMARY KEY ("versionId")
agents	FK_940597dfe9753375309ce6aeea0	f	FOREIGN KEY ("activeVersionId") REFERENCES agent_history("versionId") ON DELETE SET NULL
agents	FK_a30d560207c4071d98aa03c179c	f	FOREIGN KEY ("projectId") REFERENCES project(id) ON DELETE CASCADE
agents	PK_9c653f28ae19c5884d5baf6a1d9	p	PRIMARY KEY (id)
agents_memory_entries	CHK_agents_memory_entries_status	c	CHECK (((status)::text = ANY ((ARRAY['active'::character varying, 'superseded'::character varying, 'dropped'::character varying])::text[])))
agents_memory_entries	FK_0edf1226b77ddc525eae4938079	f	FOREIGN KEY ("supersededBy") REFERENCES agents_memory_entries(id)
agents_memory_entries	FK_1443a75e59adbfb796071d66393	f	FOREIGN KEY ("resourceId") REFERENCES agents_resources(id) ON DELETE CASCADE
agents_memory_entries	FK_28e981fb675e9b44ce02f0ec1dd	f	FOREIGN KEY ("agentId") REFERENCES agents(id) ON DELETE CASCADE
agents_memory_entries	PK_bfbc45dc88f66fae4e4b4a15fec	p	PRIMARY KEY (id)
agents_memory_entry_cursors	FK_069e791e428391a5569e7a96b20	f	FOREIGN KEY ("observationScopeId") REFERENCES agents_threads(id) ON DELETE CASCADE
agents_memory_entry_cursors	FK_746780fd115e5e4352457a3c617	f	FOREIGN KEY ("agentId") REFERENCES agents(id) ON DELETE CASCADE
agents_memory_entry_cursors	PK_b31a1d5c009a27f4cc5ef8f102a	p	PRIMARY KEY ("agentId", "observationScopeId")
agents_memory_entry_locks	FK_0ccf6d9ea6f44fa1c264fc2f795	f	FOREIGN KEY ("agentId") REFERENCES agents(id) ON DELETE CASCADE
agents_memory_entry_locks	FK_9594c0983cfee1c8ff49b05848b	f	FOREIGN KEY ("resourceId") REFERENCES agents_resources(id) ON DELETE CASCADE
agents_memory_entry_locks	PK_a8e0f570d04a174292bea104ae6	p	PRIMARY KEY ("agentId", "resourceId")
agents_memory_entry_sources	FK_451d387a182fa8dd8002dfc3a77	f	FOREIGN KEY ("threadId") REFERENCES agents_threads(id) ON DELETE CASCADE
agents_memory_entry_sources	FK_4706f6223313959b7437a2b48df	f	FOREIGN KEY ("memoryEntryId") REFERENCES agents_memory_entries(id) ON DELETE CASCADE
agents_memory_entry_sources	FK_c38e8a57a36b880e39a52ada2e8	f	FOREIGN KEY ("agentId") REFERENCES agents(id) ON DELETE CASCADE
agents_memory_entry_sources	FK_cb7c15d22fd068a0806aa57fc03	f	FOREIGN KEY ("observationId") REFERENCES agents_observations(id) ON DELETE CASCADE
agents_memory_entry_sources	PK_278f05e98e74baaaa93f52b4bab	p	PRIMARY KEY (id)
agents_messages	FK_0a8057a61afabd2999608ffd0d9	f	FOREIGN KEY ("threadId") REFERENCES agents_threads(id) ON DELETE CASCADE
agents_messages	PK_81020dc608dfb0af1ede386d907	p	PRIMARY KEY (id)
agents_observation_cursors	FK_64e92819f4b413661ed6e2c3c3d	f	FOREIGN KEY ("agentId") REFERENCES agents(id) ON DELETE CASCADE
agents_observation_cursors	FK_87aa187d27ea67eafd164905154	f	FOREIGN KEY ("observationScopeId") REFERENCES agents_threads(id) ON DELETE CASCADE
agents_observation_cursors	PK_eb777ac57ab872d38f8ebd19317	p	PRIMARY KEY ("agentId", "observationScopeId")
agents_observation_locks	CHK_agents_observation_locks_taskKind	c	CHECK ((("taskKind")::text = ANY ((ARRAY['observer'::character varying, 'reflector'::character varying])::text[])))
agents_observation_locks	FK_093e44ae20f2518e97d83a95433	f	FOREIGN KEY ("agentId") REFERENCES agents(id) ON DELETE CASCADE
agents_observation_locks	FK_6b55089892e447c2f82e5ec60ed	f	FOREIGN KEY ("observationScopeId") REFERENCES agents_threads(id) ON DELETE CASCADE
agents_observation_locks	PK_7e2e315162ac3d80587e15ac2c3	p	PRIMARY KEY ("agentId", "observationScopeId", "taskKind")
agents_observations	CHK_agents_observations_marker	c	CHECK (((marker)::text = ANY ((ARRAY['critical'::character varying, 'important'::character varying, 'info'::character varying, 'completion'::character varying])::text[])))
agents_observations	CHK_agents_observations_status	c	CHECK (((status)::text = ANY ((ARRAY['active'::character varying, 'superseded'::character varying, 'dropped'::character varying])::text[])))
agents_observations	FK_127ee1078ffa952bb37b511efad	f	FOREIGN KEY ("supersededBy") REFERENCES agents_observations(id)
agents_observations	FK_4cfd8a70ebb0a5b0cf047dca3cf	f	FOREIGN KEY ("observationScopeId") REFERENCES agents_threads(id) ON DELETE CASCADE
agents_observations	FK_501e2d1701a10e24fb69ab5fc5f	f	FOREIGN KEY ("parentId") REFERENCES agents_observations(id)
agents_observations	FK_d206432be97b7ed88d187479b1b	f	FOREIGN KEY ("agentId") REFERENCES agents(id) ON DELETE CASCADE
agents_observations	PK_9ad319654d12c2649f7caf27135	p	PRIMARY KEY (id)
agents_resources	PK_fa6b20b2d31a9991529dbf8ef7d	p	PRIMARY KEY (id)
agents_threads	PK_4a3feb0a13ffe315c009cce64e5	p	PRIMARY KEY (id)
agent_task_definition	FK_f45d0535a2ed59b6c2dd6da98a0	f	FOREIGN KEY ("agentId") REFERENCES agents(id) ON DELETE CASCADE
agent_task_definition	PK_1756c11c637903e97629a7a784a	p	PRIMARY KEY (id)
agent_task_run_lock	FK_b57a2862ae869aab24e54cefd48	f	FOREIGN KEY ("agentId") REFERENCES agents(id) ON DELETE CASCADE
agent_task_run_lock	PK_f593adaf7230e964d3c25deda64	p	PRIMARY KEY ("agentId", "taskId")
agent_task_snapshot	FK_1acedce6690392ef1611cca8b88	f	FOREIGN KEY ("versionId") REFERENCES agent_history("versionId") ON DELETE CASCADE
agent_task_snapshot	PK_2142a8bcda2360c3c5e34f82640	p	PRIMARY KEY ("versionId", "taskId")
ai_builder_temporary_workflow	FK_39b07732e819fb561d74c38763f	f	FOREIGN KEY ("threadId") REFERENCES instance_ai_threads(id) ON DELETE CASCADE
ai_builder_temporary_workflow	FK_85a87a1ba0f61999fe11dc56325	f	FOREIGN KEY ("workflowId") REFERENCES workflow_entity(id) ON DELETE CASCADE
ai_builder_temporary_workflow	PK_85a87a1ba0f61999fe11dc56325	p	PRIMARY KEY ("workflowId")
annotation_tag_entity	PK_69dfa041592c30bbc0d4b84aa00	p	PRIMARY KEY (id)
auth_identity	auth_identity_pkey	p	PRIMARY KEY ("providerId", "providerType")
auth_identity	auth_identity_userId_fkey	f	FOREIGN KEY ("userId") REFERENCES "user"(id)
auth_provider_sync_history	auth_provider_sync_history_pkey	p	PRIMARY KEY (id)
binary_data	CHK_binary_data_sourceType	c	CHECK ((("sourceType")::text = ANY ((ARRAY['execution'::character varying, 'chat_message_attachment'::character varying, 'agent_file'::character varying])::text[])))
