schemaname	tablename	indexname	indexdef
public	agent_checkpoints	IDX_5e31c210f896d539964bf99fe3	CREATE INDEX "IDX_5e31c210f896d539964bf99fe3" ON public.agent_checkpoints USING btree ("agentId")
public	agent_checkpoints	PK_50a27cbafa6806c9b162304b5fd	CREATE UNIQUE INDEX "PK_50a27cbafa6806c9b162304b5fd" ON public.agent_checkpoints USING btree ("runId")
public	agent_execution	IDX_63d3c3a68b9cebf05f967f0b1c	CREATE INDEX "IDX_63d3c3a68b9cebf05f967f0b1c" ON public.agent_execution USING btree ("threadId", "createdAt")
public	agent_execution	PK_ba438acc8532addc12d1ef17049	CREATE UNIQUE INDEX "PK_ba438acc8532addc12d1ef17049" ON public.agent_execution USING btree (id)
public	agent_execution_threads	IDX_0468a9dc35597314e641d4722a	CREATE INDEX "IDX_0468a9dc35597314e641d4722a" ON public.agent_execution_threads USING btree ("agentId")
public	agent_execution_threads	IDX_0e2f8bf92a7a9c88b89670f701	CREATE INDEX "IDX_0e2f8bf92a7a9c88b89670f701" ON public.agent_execution_threads USING btree ("projectId")
public	agent_execution_threads	IDX_agent_execution_threads_taskVersionId	CREATE INDEX "IDX_agent_execution_threads_taskVersionId" ON public.agent_execution_threads USING btree ("taskVersionId")
public	agent_execution_threads	PK_22373dbf6ba6929d8ac50093309	CREATE UNIQUE INDEX "PK_22373dbf6ba6929d8ac50093309" ON public.agent_execution_threads USING btree (id)
public	agent_files	IDX_45dafc48fe2ce95eac30fc8ffd	CREATE INDEX "IDX_45dafc48fe2ce95eac30fc8ffd" ON public.agent_files USING btree ("agentId", "createdAt")
public	agent_files	PK_692920e59217af7d124cd95106f	CREATE UNIQUE INDEX "PK_692920e59217af7d124cd95106f" ON public.agent_files USING btree (id)
public	agent_history	IDX_87cd5a8da20304b089ea2f83fe	CREATE INDEX "IDX_87cd5a8da20304b089ea2f83fe" ON public.agent_history USING btree ("agentId")
public	agent_history	PK_65ffcfe7a8e112fb826311fb092	CREATE UNIQUE INDEX "PK_65ffcfe7a8e112fb826311fb092" ON public.agent_history USING btree ("versionId")
public	agent_task_definition	IDX_f45d0535a2ed59b6c2dd6da98a	CREATE INDEX "IDX_f45d0535a2ed59b6c2dd6da98a" ON public.agent_task_definition USING btree ("agentId")
public	agent_task_definition	PK_1756c11c637903e97629a7a784a	CREATE UNIQUE INDEX "PK_1756c11c637903e97629a7a784a" ON public.agent_task_definition USING btree (id)
public	agent_task_run_lock	PK_f593adaf7230e964d3c25deda64	CREATE UNIQUE INDEX "PK_f593adaf7230e964d3c25deda64" ON public.agent_task_run_lock USING btree ("agentId", "taskId")
public	agent_task_snapshot	PK_2142a8bcda2360c3c5e34f82640	CREATE UNIQUE INDEX "PK_2142a8bcda2360c3c5e34f82640" ON public.agent_task_snapshot USING btree ("versionId", "taskId")
public	agents	IDX_a30d560207c4071d98aa03c179	CREATE INDEX "IDX_a30d560207c4071d98aa03c179" ON public.agents USING btree ("projectId")
public	agents	IDX_agents_projectId	CREATE INDEX "IDX_agents_projectId" ON public.agents USING btree ("projectId")
public	agents	PK_9c653f28ae19c5884d5baf6a1d9	CREATE UNIQUE INDEX "PK_9c653f28ae19c5884d5baf6a1d9" ON public.agents USING btree (id)
public	agents_memory_entries	IDX_0edf1226b77ddc525eae493807	CREATE INDEX "IDX_0edf1226b77ddc525eae493807" ON public.agents_memory_entries USING btree ("supersededBy")
public	agents_memory_entries	IDX_1443a75e59adbfb796071d6639	CREATE INDEX "IDX_1443a75e59adbfb796071d6639" ON public.agents_memory_entries USING btree ("resourceId")
public	agents_memory_entries	IDX_a03e04e94bea8439dd166d4b52	CREATE UNIQUE INDEX "IDX_a03e04e94bea8439dd166d4b52" ON public.agents_memory_entries USING btree ("agentId", "resourceId", "contentHash")
public	agents_memory_entries	IDX_aff2807b31eccbafe59d0474f0	CREATE INDEX "IDX_aff2807b31eccbafe59d0474f0" ON public.agents_memory_entries USING btree ("agentId", "resourceId", status, "createdAt", id)
public	agents_memory_entries	PK_bfbc45dc88f66fae4e4b4a15fec	CREATE UNIQUE INDEX "PK_bfbc45dc88f66fae4e4b4a15fec" ON public.agents_memory_entries USING btree (id)
public	agents_memory_entry_cursors	IDX_069e791e428391a5569e7a96b2	CREATE INDEX "IDX_069e791e428391a5569e7a96b2" ON public.agents_memory_entry_cursors USING btree ("observationScopeId")
public	agents_memory_entry_cursors	PK_b31a1d5c009a27f4cc5ef8f102a	CREATE UNIQUE INDEX "PK_b31a1d5c009a27f4cc5ef8f102a" ON public.agents_memory_entry_cursors USING btree ("agentId", "observationScopeId")
public	agents_memory_entry_locks	IDX_9594c0983cfee1c8ff49b05848	CREATE INDEX "IDX_9594c0983cfee1c8ff49b05848" ON public.agents_memory_entry_locks USING btree ("resourceId")
public	agents_memory_entry_locks	PK_a8e0f570d04a174292bea104ae6	CREATE UNIQUE INDEX "PK_a8e0f570d04a174292bea104ae6" ON public.agents_memory_entry_locks USING btree ("agentId", "resourceId")
public	agents_memory_entry_sources	IDX_451d387a182fa8dd8002dfc3a7	CREATE INDEX "IDX_451d387a182fa8dd8002dfc3a7" ON public.agents_memory_entry_sources USING btree ("threadId")
public	agents_memory_entry_sources	IDX_a353ac251315ef0af6ad3c9f0a	CREATE UNIQUE INDEX "IDX_a353ac251315ef0af6ad3c9f0a" ON public.agents_memory_entry_sources USING btree ("memoryEntryId", "observationId", "evidenceHash")
public	agents_memory_entry_sources	IDX_cb7c15d22fd068a0806aa57fc0	CREATE INDEX "IDX_cb7c15d22fd068a0806aa57fc0" ON public.agents_memory_entry_sources USING btree ("observationId")
public	agents_memory_entry_sources	IDX_f9573af4ed653f13b0ba1f7b12	CREATE INDEX "IDX_f9573af4ed653f13b0ba1f7b12" ON public.agents_memory_entry_sources USING btree ("agentId", "threadId")
public	agents_memory_entry_sources	PK_278f05e98e74baaaa93f52b4bab	CREATE UNIQUE INDEX "PK_278f05e98e74baaaa93f52b4bab" ON public.agents_memory_entry_sources USING btree (id)
public	agents_messages	IDX_agents_messages_threadId_createdAt	CREATE INDEX "IDX_agents_messages_threadId_createdAt" ON public.agents_messages USING btree ("threadId", "createdAt")
public	agents_messages	IDX_fc7bf858660bfafd19181e8e35	CREATE INDEX "IDX_fc7bf858660bfafd19181e8e35" ON public.agents_messages USING btree ("threadId", "createdAt")
public	agents_messages	PK_81020dc608dfb0af1ede386d907	CREATE UNIQUE INDEX "PK_81020dc608dfb0af1ede386d907" ON public.agents_messages USING btree (id)
public	agents_observation_cursors	IDX_87aa187d27ea67eafd16490515	CREATE INDEX "IDX_87aa187d27ea67eafd16490515" ON public.agents_observation_cursors USING btree ("observationScopeId")
public	agents_observation_cursors	PK_eb777ac57ab872d38f8ebd19317	CREATE UNIQUE INDEX "PK_eb777ac57ab872d38f8ebd19317" ON public.agents_observation_cursors USING btree ("agentId", "observationScopeId")
public	agents_observation_locks	IDX_6b55089892e447c2f82e5ec60e	CREATE INDEX "IDX_6b55089892e447c2f82e5ec60e" ON public.agents_observation_locks USING btree ("observationScopeId")
public	agents_observation_locks	PK_7e2e315162ac3d80587e15ac2c3	CREATE UNIQUE INDEX "PK_7e2e315162ac3d80587e15ac2c3" ON public.agents_observation_locks USING btree ("agentId", "observationScopeId", "taskKind")
public	agents_observations	IDX_07cb1e4a302629c5fa5d74d2bb	CREATE INDEX "IDX_07cb1e4a302629c5fa5d74d2bb" ON public.agents_observations USING btree ("agentId", "observationScopeId", status)
public	agents_observations	IDX_127ee1078ffa952bb37b511efa	CREATE INDEX "IDX_127ee1078ffa952bb37b511efa" ON public.agents_observations USING btree ("supersededBy")
public	agents_observations	IDX_4cfd8a70ebb0a5b0cf047dca3c	CREATE INDEX "IDX_4cfd8a70ebb0a5b0cf047dca3c" ON public.agents_observations USING btree ("observationScopeId")
public	agents_observations	IDX_501e2d1701a10e24fb69ab5fc5	CREATE INDEX "IDX_501e2d1701a10e24fb69ab5fc5" ON public.agents_observations USING btree ("parentId")
public	agents_observations	PK_9ad319654d12c2649f7caf27135	CREATE UNIQUE INDEX "PK_9ad319654d12c2649f7caf27135" ON public.agents_observations USING btree (id)
public	agents_resources	PK_fa6b20b2d31a9991529dbf8ef7d	CREATE UNIQUE INDEX "PK_fa6b20b2d31a9991529dbf8ef7d" ON public.agents_resources USING btree (id)
public	agents_threads	IDX_54fa1b94f34a409beafae567a4	CREATE INDEX "IDX_54fa1b94f34a409beafae567a4" ON public.agents_threads USING btree ("resourceId")
public	agents_threads	PK_4a3feb0a13ffe315c009cce64e5	CREATE UNIQUE INDEX "PK_4a3feb0a13ffe315c009cce64e5" ON public.agents_threads USING btree (id)
public	ai_builder_temporary_workflow	IDX_39b07732e819fb561d74c38763	CREATE INDEX "IDX_39b07732e819fb561d74c38763" ON public.ai_builder_temporary_workflow USING btree ("threadId")
public	ai_builder_temporary_workflow	PK_85a87a1ba0f61999fe11dc56325	CREATE UNIQUE INDEX "PK_85a87a1ba0f61999fe11dc56325" ON public.ai_builder_temporary_workflow USING btree ("workflowId")
public	annotation_tag_entity	IDX_ae51b54c4bb430cf92f48b623f	CREATE UNIQUE INDEX "IDX_ae51b54c4bb430cf92f48b623f" ON public.annotation_tag_entity USING btree (name)
public	annotation_tag_entity	PK_69dfa041592c30bbc0d4b84aa00	CREATE UNIQUE INDEX "PK_69dfa041592c30bbc0d4b84aa00" ON public.annotation_tag_entity USING btree (id)
public	auth_identity	auth_identity_pkey	CREATE UNIQUE INDEX auth_identity_pkey ON public.auth_identity USING btree ("providerId", "providerType")
public	auth_provider_sync_history	auth_provider_sync_history_pkey	CREATE UNIQUE INDEX auth_provider_sync_history_pkey ON public.auth_provider_sync_history USING btree (id)
public	binary_data	IDX_56900edc3cfd16612e2ef2c6a8	CREATE INDEX "IDX_56900edc3cfd16612e2ef2c6a8" ON public.binary_data USING btree ("sourceType", "sourceId")
public	binary_data	PK_fc3691585b39408bb0551122af6	CREATE UNIQUE INDEX "PK_fc3691585b39408bb0551122af6" ON public.binary_data USING btree ("fileId")
public	channel_conversation_logs	channel_conversation_logs_conversation_id_external_event_id_key	CREATE UNIQUE INDEX channel_conversation_logs_conversation_id_external_event_id_key ON public.channel_conversation_logs USING btree (conversation_id, external_event_id)
public	channel_conversation_logs	channel_conversation_logs_pkey	CREATE UNIQUE INDEX channel_conversation_logs_pkey ON public.channel_conversation_logs USING btree (id)
public	chat_hub_agent_tools	PK_cc8806fdea48297a7d497035d72	CREATE UNIQUE INDEX "PK_cc8806fdea48297a7d497035d72" ON public.chat_hub_agent_tools USING btree ("agentId", "toolId")
public	chat_hub_agents	PK_f39a3b36bbdf0e2979ddb21cf78	CREATE UNIQUE INDEX "PK_f39a3b36bbdf0e2979ddb21cf78" ON public.chat_hub_agents USING btree (id)
public	chat_hub_messages	IDX_chat_hub_messages_sessionId	CREATE INDEX "IDX_chat_hub_messages_sessionId" ON public.chat_hub_messages USING btree ("sessionId")
public	chat_hub_messages	PK_7704a5add6baed43eef835f0bfb	CREATE UNIQUE INDEX "PK_7704a5add6baed43eef835f0bfb" ON public.chat_hub_messages USING btree (id)
